TwitterHandle,Date,TweetsAgo,Compound,Positive,Negative,Neutral,Tweet
BBC,2018-10-08 08:04:06+00:00,85,0.0,0.0,1.0,0.0,Arctic foxes have an incredible way to hunt in the snow. https://t.co/4YVe8wDZ9w
BBC,2018-10-08 07:04:02+00:00,86,0.3291,0.144,0.856,0.0,"Vinegar has long been celebrated for its health-giving properties – but what’s the evidence?
👉… https://t.co/Ir4atsn9SS"
BBC,2018-10-08 06:16:06+00:00,87,0.7351,0.341,0.659,0.0,This climate activist says Norway can't be green and benefit from oil wealth. https://t.co/Yzi9dpQoc8
BBC,2018-10-07 21:05:04+00:00,88,0.0,0.0,1.0,0.0,"🎤🎶 The music. The performances. The Internet. The fans.

What is it that has made #KPop superstars @BTS_twt so succ… https://t.co/OFdAQsaNVr"
BBC,2018-10-07 19:05:01+00:00,89,0.6908,0.246,0.676,0.078,"No YOU just watched Tom Hardy explain to a child why we should love all things equally for the 863rd time 💔😭

https://t.co/646n5wwjvL"
BBC,2018-10-07 18:05:03+00:00,90,0.0,0.0,1.0,0.0,"This is Black British History, brought to you by Scribbler P in a UK garage styley.
#BlackHistoryMonth https://t.co/4NlkHVxeN6"
BBC,2018-10-07 17:03:03+00:00,91,0.0,0.0,1.0,0.0,🌱🐐 These goats work for @CityofEdmonton as weed-eating machines. https://t.co/8ZzkBaTkO4
BBC,2018-10-07 16:45:07+00:00,92,0.0,0.0,1.0,0.0,"A mysterious woman, unable to remember her own name, falls from the Sheffield night sky...

#DoctorWho | 6:45pm |… https://t.co/Orpk2bya9a"
BBC,2018-10-07 16:04:02+00:00,93,0.34,0.107,0.893,0.0,"We know that beauty standards shift over time. But it turns out that our 'type' can change much faster.
👉… https://t.co/MykIvgTO2S"
BBC,2018-10-07 15:43:54+00:00,94,0.8126,0.291,0.709,0.0,"RT @BBCSport: His first marathon success and a new European record. 

Mo Farah wins the Chicago Marathon.

➡ https://t.co/LODB4mIpv9 https:…"
BBC,2018-10-07 15:07:04+00:00,95,0.3182,0.095,0.905,0.0,"'The basic truth of how plastic gets in the sea, is that it all comes from us.'

#OurBluePlanet w/ @oceanx @mcsuk +… https://t.co/EAInIgPMj7"
BBC,2018-10-07 14:33:00+00:00,96,-0.2732,0.219,0.518,0.263,"""Sickeningly ingenious"". 😲

@Simon_Reeve explores a safe house once used by Europe's largest organised crime gang.… https://t.co/Ql6rpphKsI"
BBC,2018-10-07 13:18:06+00:00,97,0.5859,0.16,0.84,0.0,"Eggs as conditioner and ghee as moisturiser… 🤔

Experts rate the beauty tips that our mums swore by.
👉… https://t.co/ISK3JiidpY"
BBC,2018-10-07 11:07:07+00:00,98,0.0258,0.355,0.645,0.0,Representation matters. https://t.co/FZ0RLM1mWF
BBC,2018-10-07 10:06:05+00:00,99,0.7096,0.234,0.766,0.0,"In 2002, Iberian Lynx were the rarest cats in the world. But then something remarkable happened... https://t.co/iEVCaSDvjN"
BBC,2018-10-07 09:07:07+00:00,100,0.0,0.119,0.763,0.119,🚨👰 A newly married couple found their 'something blue' when they were rescued by police after their car broke down… https://t.co/a0FU9D6ygX
